"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay",
1998,1,1,17,6,1998-01-17,"WN",19393,"WN","N520","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",5.00,"0720","0837",3.00,"0840","0840",0.00,0.00,0.00,0,"0800-0859",0.00,"",0.00,145.00,145.00,137.00,1.00,872.00,4,,,,,,
1998,1,1,18,7,1998-01-18,"WN",19393,"WN","N302","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",6.00,"0721","0828",2.00,"0840","0830",-10.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,135.00,127.00,1.00,872.00,4,,,,,,
1998,1,1,19,1,1998-01-19,"WN",19393,"WN","N315","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",5.00,"0720","0828",3.00,"0840","0831",-9.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,136.00,128.00,1.00,872.00,4,,,,,,
1998,1,1,20,2,1998-01-20,"WN",19393,"WN","N372","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",12.00,"0727","0833",3.00,"0840","0836",-4.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,141.00,126.00,1.00,872.00,4,,,,,,
1998,1,1,21,3,1998-01-21,"WN",19393,"WN","N367","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",6.00,"0721","0833",3.00,"0840","0836",-4.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,141.00,132.00,1.00,872.00,4,,,,,,
1998,1,1,22,4,1998-01-22,"WN",19393,"WN","N318","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0725",10.00,10.00,0.00,0,"0700-0759",7.00,"0732","0843",4.00,"0840","0847",7.00,7.00,0.00,0,"0800-0859",0.00,"",0.00,145.00,142.00,131.00,1.00,872.00,4,,,,,,
1998,1,1,23,5,1998-01-23,"WN",19393,"WN","N694","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",19.00,"0734","0835",4.00,"0840","0839",-1.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,144.00,121.00,1.00,872.00,4,,,,,,
1998,1,1,24,6,1998-01-24,"WN",19393,"WN","N373","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",5.00,"0720","0826",4.00,"0840","0830",-10.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,135.00,126.00,1.00,872.00,4,,,,,,
1998,1,1,25,7,1998-01-25,"WN",19393,"WN","N302","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",5.00,"0720","0833",2.00,"0840","0835",-5.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,140.00,133.00,1.00,872.00,4,,,,,,
1998,1,1,26,1,1998-01-26,"WN",19393,"WN","N307","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",9.00,"0724","0837",3.00,"0840","0840",0.00,0.00,0.00,0,"0800-0859",0.00,"",0.00,145.00,145.00,133.00,1.00,872.00,4,,,,,,
1998,1,1,27,2,1998-01-27,"WN",19393,"WN","N655","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",7.00,"0722","0833",3.00,"0840","0836",-4.00,0.00,0.00,-1,"0800-0859",0.00,"",0.00,145.00,141.00,131.00,1.00,872.00,4,,,,,,
1998,1,1,28,3,1998-01-28,"WN",19393,"WN","N329","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0817",62.00,62.00,1.00,4,"0700-0759",14.00,"0831","0942",5.00,"0840","0947",67.00,67.00,1.00,4,"0800-0859",0.00,"",0.00,145.00,150.00,131.00,1.00,872.00,4,,,,,,
1998,1,1,29,4,1998-01-29,"WN",19393,"WN","N654","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",8.00,"0723","0840",3.00,"0840","0843",3.00,3.00,0.00,0,"0800-0859",0.00,"",0.00,145.00,148.00,137.00,1.00,872.00,4,,,,,,
1998,1,1,30,5,1998-01-30,"WN",19393,"WN","N361","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0857",102.00,102.00,1.00,6,"0700-0759",6.00,"0903","1012",3.00,"0840","1015",95.00,95.00,1.00,6,"0800-0859",0.00,"",0.00,145.00,138.00,129.00,1.00,872.00,4,,,,,,
1998,1,1,31,6,1998-01-31,"WN",19393,"WN","N390","76","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0715","0715",0.00,0.00,0.00,0,"0700-0759",9.00,"0724","0842",3.00,"0840","0845",5.00,5.00,0.00,0,"0800-0859",0.00,"",0.00,145.00,150.00,138.00,1.00,872.00,4,,,,,,
1998,1,1,1,4,1998-01-01,"WN",19393,"WN","N305","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1310",0.00,0.00,0.00,0,"1300-1359",5.00,"1315","1423",3.00,"1435","1426",-9.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,145.00,136.00,128.00,1.00,872.00,4,,,,,,
1998,1,1,2,5,1998-01-02,"WN",19393,"WN","N677","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1310",0.00,0.00,0.00,0,"1300-1359",8.00,"1318","1416",2.00,"1435","1418",-17.00,0.00,0.00,-2,"1400-1459",0.00,"",0.00,145.00,128.00,118.00,1.00,872.00,4,,,,,,
1998,1,1,3,6,1998-01-03,"WN",19393,"WN","N383","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1512",122.00,122.00,1.00,8,"1300-1359",6.00,"1518","1614",4.00,"1435","1618",103.00,103.00,1.00,6,"1400-1459",0.00,"",0.00,145.00,126.00,116.00,1.00,872.00,4,,,,,,
1998,1,1,4,7,1998-01-04,"WN",19393,"WN","N315","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1310",0.00,0.00,0.00,0,"1300-1359",9.00,"1319","1427",3.00,"1435","1430",-5.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,145.00,140.00,128.00,1.00,872.00,4,,,,,,
1998,1,1,5,1,1998-01-05,"WN",19393,"WN","N664","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1315",5.00,5.00,0.00,0,"1300-1359",12.00,"1327","1435",4.00,"1435","1439",4.00,4.00,0.00,0,"1400-1459",0.00,"",0.00,145.00,144.00,128.00,1.00,872.00,4,,,,,,
1998,1,1,6,2,1998-01-06,"WN",19393,"WN","N692","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1322",12.00,12.00,0.00,0,"1300-1359",10.00,"1332","1430",5.00,"1435","1435",0.00,0.00,0.00,0,"1400-1459",0.00,"",0.00,145.00,133.00,118.00,1.00,872.00,4,,,,,,
1998,1,1,7,3,1998-01-07,"WN",19393,"WN","N356","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1310",0.00,0.00,0.00,0,"1300-1359",10.00,"1320","1425",3.00,"1435","1428",-7.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,145.00,138.00,125.00,1.00,872.00,4,,,,,,
1998,1,1,8,4,1998-01-08,"WN",19393,"WN","N624","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1310",0.00,0.00,0.00,0,"1300-1359",5.00,"1315","1430",3.00,"1435","1433",-2.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,145.00,143.00,135.00,1.00,872.00,4,,,,,,
1998,1,1,9,5,1998-01-09,"WN",19393,"WN","N647","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1310",0.00,0.00,0.00,0,"1300-1359",7.00,"1317","1425",3.00,"1435","1428",-7.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,145.00,138.00,128.00,1.00,872.00,4,,,,,,
1998,1,1,10,6,1998-01-10,"WN",19393,"WN","N691","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1310",0.00,0.00,0.00,0,"1300-1359",7.00,"1317","1512",3.00,"1435","1515",40.00,40.00,1.00,2,"1400-1459",0.00,"",0.00,145.00,185.00,175.00,1.00,872.00,4,,,,,,
1998,1,1,11,7,1998-01-11,"WN",19393,"WN","N655","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1435",85.00,85.00,1.00,5,"1300-1359",7.00,"1442","1603",2.00,"1435","1605",90.00,90.00,1.00,6,"1400-1459",0.00,"",0.00,145.00,150.00,141.00,1.00,872.00,4,,,,,,
1998,1,1,12,1,1998-01-12,"WN",19393,"WN","N523","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1428",78.00,78.00,1.00,5,"1300-1359",5.00,"1433","1530",3.00,"1435","1533",58.00,58.00,1.00,3,"1400-1459",0.00,"",0.00,145.00,125.00,117.00,1.00,872.00,4,,,,,,
1998,1,1,13,2,1998-01-13,"WN",19393,"WN","N507","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1310",0.00,0.00,0.00,0,"1300-1359",8.00,"1318","1426",3.00,"1435","1429",-6.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,145.00,139.00,128.00,1.00,872.00,4,,,,,,
1998,1,1,14,3,1998-01-14,"WN",19393,"WN","N388","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1310","1310",0.00,0.00,0.00,0,"1300-1359",7.00,"1317","1416",4.00,"1435","1420",-15.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,145.00,130.00,119.00,1.00,872.00,4,,,,,,
1998,1,1,15,4,1998-01-15,"WN",19393,"WN","N695","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1250",0.00,0.00,0.00,0,"1200-1259",5.00,"1255","1400",3.00,"1410","1403",-7.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,140.00,133.00,125.00,1.00,872.00,4,,,,,,
1998,1,1,16,5,1998-01-16,"WN",19393,"WN","N626","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1257",7.00,7.00,0.00,0,"1200-1259",14.00,"1311","1417",3.00,"1410","1420",10.00,10.00,0.00,0,"1400-1459",0.00,"",0.00,140.00,143.00,126.00,1.00,872.00,4,,,,,,
1998,1,1,17,6,1998-01-17,"WN",19393,"WN","N688","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1250",0.00,0.00,0.00,0,"1200-1259",8.00,"1258","1402",3.00,"1410","1405",-5.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,140.00,135.00,124.00,1.00,872.00,4,,,,,,
1998,1,1,18,7,1998-01-18,"WN",19393,"WN","N349","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1250",0.00,0.00,0.00,0,"1200-1259",6.00,"1256","1401",4.00,"1410","1405",-5.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,140.00,135.00,125.00,1.00,872.00,4,,,,,,
1998,1,1,19,1,1998-01-19,"WN",19393,"WN","N646","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1250",0.00,0.00,0.00,0,"1200-1259",10.00,"1300","1400",5.00,"1410","1405",-5.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,140.00,135.00,120.00,1.00,872.00,4,,,,,,
1998,1,1,20,2,1998-01-20,"WN",19393,"WN","N387","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1250",0.00,0.00,0.00,0,"1200-1259",10.00,"1300","1407",3.00,"1410","1410",0.00,0.00,0.00,0,"1400-1459",0.00,"",0.00,140.00,140.00,127.00,1.00,872.00,4,,,,,,
1998,1,1,21,3,1998-01-21,"WN",19393,"WN","N671","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1250",0.00,0.00,0.00,0,"1200-1259",8.00,"1258","1408",2.00,"1410","1410",0.00,0.00,0.00,0,"1400-1459",0.00,"",0.00,140.00,140.00,130.00,1.00,872.00,4,,,,,,
1998,1,1,22,4,1998-01-22,"WN",19393,"WN","N695","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1252",2.00,2.00,0.00,0,"1200-1259",6.00,"1258","1410",5.00,"1410","1415",5.00,5.00,0.00,0,"1400-1459",0.00,"",0.00,140.00,143.00,132.00,1.00,872.00,4,,,,,,
1998,1,1,23,5,1998-01-23,"WN",19393,"WN","UNKNOW","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","",,,,,"1200-1259",,"","",,"1410","",,,,,"1400-1459",1.00,"",0.00,140.00,,,1.00,872.00,4,,,,,,
1998,1,1,24,6,1998-01-24,"WN",19393,"WN","N339","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1250",0.00,0.00,0.00,0,"1200-1259",7.00,"1257","1404",2.00,"1410","1406",-4.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,140.00,136.00,127.00,1.00,872.00,4,,,,,,
1998,1,1,25,7,1998-01-25,"WN",19393,"WN","N337","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1250",0.00,0.00,0.00,0,"1200-1259",9.00,"1259","1405",4.00,"1410","1409",-1.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,140.00,139.00,126.00,1.00,872.00,4,,,,,,
1998,1,1,26,1,1998-01-26,"WN",19393,"WN","N334","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1250",0.00,0.00,0.00,0,"1200-1259",12.00,"1302","1411",4.00,"1410","1415",5.00,5.00,0.00,0,"1400-1459",0.00,"",0.00,140.00,145.00,129.00,1.00,872.00,4,,,,,,
1998,1,1,27,2,1998-01-27,"WN",19393,"WN","N601","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1250",0.00,0.00,0.00,0,"1200-1259",7.00,"1257","1357",3.00,"1410","1400",-10.00,0.00,0.00,-1,"1400-1459",0.00,"",0.00,140.00,130.00,120.00,1.00,872.00,4,,,,,,
1998,1,1,28,3,1998-01-28,"WN",19393,"WN","N511","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1250",0.00,0.00,0.00,0,"1200-1259",7.00,"1257","1406",4.00,"1410","1410",0.00,0.00,0.00,0,"1400-1459",0.00,"",0.00,140.00,140.00,129.00,1.00,872.00,4,,,,,,
1998,1,1,29,4,1998-01-29,"WN",19393,"WN","N651","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1250",0.00,0.00,0.00,0,"1200-1259",9.00,"1259","1412",3.00,"1410","1415",5.00,5.00,0.00,0,"1400-1459",0.00,"",0.00,140.00,145.00,133.00,1.00,872.00,4,,,,,,
1998,1,1,30,5,1998-01-30,"WN",19393,"WN","N380","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1312",22.00,22.00,1.00,1,"1200-1259",8.00,"1320","1430",3.00,"1410","1433",23.00,23.00,1.00,1,"1400-1459",0.00,"",0.00,140.00,141.00,130.00,1.00,872.00,4,,,,,,
1998,1,1,31,6,1998-01-31,"WN",19393,"WN","N341","639","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1250","1250",0.00,0.00,0.00,0,"1200-1259",7.00,"1257","1410",4.00,"1410","1414",4.00,4.00,0.00,0,"1400-1459",0.00,"",0.00,140.00,144.00,133.00,1.00,872.00,4,,,,,,
1998,1,1,2,5,1998-01-02,"WN",19393,"WN","N650","743","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1420","1420",0.00,0.00,0.00,0,"1400-1459",6.00,"1426","1535",2.00,"1540","1537",-3.00,0.00,0.00,-1,"1500-1559",0.00,"",0.00,140.00,137.00,129.00,1.00,872.00,4,,,,,,
1998,1,1,4,7,1998-01-04,"WN",19393,"WN","N369","743","AUS","Austin, TX","TX","48","Texas",74,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1420","1420",0.00,0.00,0.00,0,"1400-1459",5.00,"1425","1531",3.00,"1540","1534",-6.00,0.00,0.00,-1,"1500-1559",0.00,"",0.00,140.00,134.00,126.00,1.00,872.00,4,,,,,,
